title,description,image,code,demo,,,
Desktop Todo App,A distraction-free desktop app to help you focus on creating and completing tasks,tododesktop.png,https://github.com/farhanfahmid/python_todo_desktop_app,https://github.com/farhanfahmid/python_todo_desktop_app/releases/tag/v1.0.0,,,
Todo WebApp,A distraction-free web app to help you focus on creating and completing tasks,todoweb.png,https://github.com/farhanfahmid/Python-TODO-WebApp,https://farhanfahmid-python-todo-webapp-web-qpozzh.streamlit.app/,,,
Ziptract,A useful desktop app to compress files and extract zipped files,zipper.png,https://github.com/farhanfahmid/file_compression_app.git,https://github.com/farhanfahmid/file_compression_app/releases/tag/v1.0.0,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
Todo App,A distraction-free web app to help you focus on creating and completing tasks,1.png,https://pythonhow.com,Release What To Do  farhanfahmid/python_todo_desktop_app,,,
